System,Data Table,Data Element,Code,Meaning,List of Values Source
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H53,HIGHWAY TYPE:FREEWAY 4 LANES OR LESS;TERRAIN/ADT:>15000;DESIGN SPEED:<=65;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H54,HIGHWAY TYPE:FREEWAY 4 LANES OR LESS;TERRAIN/ADT:>15000;DESIGN SPEED:>65;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H55,HIGHWAY TYPE:FREEWAY 5-6 LANES;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H56,HIGHWAY TYPE:FREEWAY 7 LANES OR MORE;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H57,HIGHWAY TYPE:FREEWAY 4 LANES OR LESS;TERRAIN/ADT:<=15000;DESIGN SPEED:<=65;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H58,HIGHWAY TYPE:FREEWAY 4 LANES OR LESS;TERRAIN/ADT:<=15000;DESIGN SPEED:>65;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H59,HIGHWAY TYPE:FREEWAY 4 LANES OR LESS;TERRAIN/ADT:>15000;DESIGN SPEED:<=65;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H60,HIGHWAY TYPE:FREEWAY 4 LANES OR LESS;TERRAIN/ADT:>15000;DESIGN SPEED:>65;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H61,HIGHWAY TYPE:FREEWAY 5-6 LANES;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H62,HIGHWAY TYPE:FREEWAY 7 LANES OR MORE;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H63,HIGHWAY TYPE:FREEWAY 4 LANES OR LESS;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H64,HIGHWAY TYPE:FREEWAY 5-6 LANES; URBAN;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H65,HIGHWAY TYPE:FREEWAY 7-8 LANES; URBAN;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H66,HIGHWAY TYPE:FREEWAY 9-10 LANES; URBAN;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H67,HIGHWAY TYPE:FREEWAY 11 LANES OR MORE;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,CONVENTIONAL 2 LANES OR LESS,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,CONVENTIONAL 3 LANES,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,EXPRESSWAY 3 LANES OR LESS,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,UNDIVIDED 4 LANES,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,UNDIVIDED 5-6 LANES,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,DIVIDED 4 LANES,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,DIVIDED 5 LANES OR MORE,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,DIV. EXPRESSWAY 4 LNS. OR MORE,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,FREEWAY 4 LANES OR LESS,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,FREEWAY 5-6 LANES,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,FREEWAY 7 LANES OR MORE,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,FREEWAY 5-6 LANES; URBAN,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,FREEWAY 7-8 LANES; URBAN,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,FREEWAY 9-10 LANES; URBAN,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,HIGHWAY TYPE,FREEWAY 11 LANES OR MORE,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,TERRAIN ,FLAT,Any combination of grades and horizontal or vertical alignment that permits heavy vehicles to maintain the same speed as passenger cars; this generally includes short grades of no more than 2 percent.,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,TERRAIN ,ROLL,Any combination of grades and horizontal or vertical alignment that causes heavy vehicles to reduce their speeds substantially below those of passenger cars but that does not cause heavy vehicles to operate at crawl speeds for any significant length of time.,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,TERRAIN ,MTN,Any combination of grades and horizontal or vertical alignment that causes heavy vehicles to operate at extremely low speeds for significant distances or at frequent intervals.,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I01,"INTERSECTION TYE:F, M and S;CONTROL TYPE:NO CONTROL;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I02,"INTERSECTION TYE:F, M and S;CONTROL TYPE:STOP & YIELD SIGNS (EXC 4WAY);AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I03,"INTERSECTION TYE:F, M and S;CONTROL TYPE:4 WAY STOP;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I04,"INTERSECTION TYE:F, M and S;CONTROL TYPE:SIGNALS;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I05,"INTERSECTION TYE:F, M and S;CONTROL TYPE:4 WAY FLASHERS;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I06,"INTERSECTION TYE:F, M and S;CONTROL TYPE:NO CONTROL;AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I07,"INTERSECTION TYE:F, M and S;CONTROL TYPE:STOP & YIELD SIGNS (EXC 4WAY);AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I08,"INTERSECTION TYE:F, M and S;CONTROL TYPE:4 WAY STOP;AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I09,"INTERSECTION TYE:F, M and S;CONTROL TYPE:SIGNALS;AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I10,"INTERSECTION TYE:F, M and S;CONTROL TYPE:4 WAY FLASHERS;AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I11,"INTERSECTION TYE:F, M and S;CONTROL TYPE:NO CONTROL;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I12,"INTERSECTION TYE:F, M and S;CONTROL TYPE:STOP & YIELD SIGNS (EXC 4WAY);AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I13,"INTERSECTION TYE:F, M and S;CONTROL TYPE:4 WAY STOP;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I14,"INTERSECTION TYE:F, M and S;CONTROL TYPE:SIGNALS;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I15,"INTERSECTION TYE:F, M and S;CONTROL TYPE:4 WAY FLASHERS;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I16,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:NO CONTROL;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I17,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:STOP & YIELD SIGNS (EXC 4WAY);AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I18,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:4 WAY STOP;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I19,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:SIGNALS;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I20,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:4 WAY FLASHERS;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I21,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:NO CONTROL;AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I22,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:STOP & YIELD SIGNS (EXC 4WAY);AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I23,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:4 WAY STOP;AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I24,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:SIGNALS;AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I25,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:4 WAY FLASHERS;AREA:SUBURBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I26,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:NO CONTROL;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I27,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:STOP & YIELD SIGNS (EXC 4WAY);AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I28,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:4 WAY STOP;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I29,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:SIGNALS;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I30,"INTERSECTION TYE:T, Y and Z;CONTROL TYPE:4 WAY FLASHERS;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,RATE GROUP,I31,INTERSECTION TYE:R;CONTROL TYPE:YIELD ON ALL APPROACHES;AREA:ALL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,INTERSECTION TYPE,F,Four-legged intersection,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,INTERSECTION TYPE,M,Multi-legged intersection,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,INTERSECTION TYPE,S,Offset intersection,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,INTERSECTION TYPE,T,Tee intersection,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,INTERSECTION TYPE,Y,WYE intersection,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,INTERSECTION TYPE,R,Roundabout intersection,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,INTERSECTION TYPE,Z,Other intersection types,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,NO CONTROL,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,STOP & YIELD SIGNS (EXC 4WAY),,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,4 WAY STOP,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,SIGNALS,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,4 WAY FLASHERS,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,YIELD ON ALL APPROACHES,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R01,RAMP TYPE:FRONTAGE ROAD;RAMP AREA:1-4;ON/OF:N/A;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R02,RAMP TYPE:FRONTAGE ROAD;RAMP AREA:1-4;ON/OF:N/A;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R03,RAMP TYPE:COLLECTOR ROAD;RAMP AREA:1-4;ON/OF:N/A;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R04,RAMP TYPE:COLLECTOR ROAD;RAMP AREA:1-4;ON/OF:N/A;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R05,"RAMP TYPE:DIRECT, SEMI-DIR CONN (LT TRN TRAF);RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R06,"RAMP TYPE:DIRECT, SEMI-DIR CONN (LT TRN TRAF);RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R07,"RAMP TYPE:DIRECT, SEMI-DIR CONN (LT TRN TRAF);RAMP AREA:1-4;ON/OF:ON;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R08,"RAMP TYPE:DIRECT, SEMI-DIR CONN (LT TRN TRAF);RAMP AREA:1-4;ON/OF:ON;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R09,RAMP TYPE:DIAMOND;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R10,RAMP TYPE:DIAMOND;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R11,RAMP TYPE:DIAMOND;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R12,RAMP TYPE:DIAMOND;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R13,RAMP TYPE:SLIP;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R14,RAMP TYPE:SLIP;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R15,RAMP TYPE:SLIP;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R16,RAMP TYPE:SLIP;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R17,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R18,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R19,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-4;ON/OF:ON;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R20,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-4;ON/OF:ON;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R21,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R22,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R23,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R24,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R25,RAMP TYPE:BUTTONHOOK;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R26,RAMP TYPE:BUTTONHOOK;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R27,RAMP TYPE:BUTTONHOOK;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R28,RAMP TYPE:BUTTONHOOK;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R29,RAMP TYPE:SCISSORS;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R30,RAMP TYPE:SCISSORS;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R31,RAMP TYPE:SCISSORS;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R32,RAMP TYPE:SCISSORS;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R33,RAMP TYPE:SPLIT;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R34,RAMP TYPE:SPLIT;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R35,RAMP TYPE:SPLIT;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R36,RAMP TYPE:SPLIT;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R37,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R38,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R39,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R40,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R41,RAMP TYPE:TWO-WAY RAMP SEGMENT;RAMP AREA:1-4;ON/OF:N/A;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R42,RAMP TYPE:TWO-WAY RAMP SEGMENT;RAMP AREA:1-4;ON/OF:N/A;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R43,"RAMP TYPE:REST AREA, VISTA PT, TRK SCALE;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL",Transportation System Network (TSN)
